#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
2 52073.25993 19.279 0.029
2 52111.21722 19.987 0.156
2 52111.23366 19.853 0.096
2 52122.14581 19.939 0.107
3 52022.43288 16.618 0.014
3 52029.13855 16.741 0.023
3 52030.25642 16.735 0.014
3 52038.39411 16.983 0.029
3 52040.38597 17.101 0.022
3 52045.34823 17.330 0.016
3 52045.34823 17.332 0.014
3 52051.28189 17.544 0.015
3 52052.43610 17.579 0.018
3 52056.19628 17.764 0.019
3 52059.29168 17.932 0.028
3 52073.26242 18.375 0.025
3 52111.22039 19.081 0.042
3 52111.23684 19.093 0.063
3 52122.14899 19.365 0.110
4 52022.43466 16.561 0.013
4 52029.14037 16.663 0.014
4 52030.25822 16.693 0.021
4 52034.31831 16.822 0.021
4 52036.33039 16.850 0.013
4 52037.30617 16.905 0.015
4 52038.39590 16.910 0.046
4 52040.38775 16.899 0.016
4 52045.34997 17.024 0.019
4 52049.14150 17.028 0.014
4 52051.28369 17.094 0.023
4 52052.43791 17.121 0.022
4 52052.43791 17.107 0.021
4 52056.19808 17.240 0.016
4 52059.29347 17.411 0.024
4 52111.23934 19.011 0.090
5 52022.43609 16.776 0.018
5 52026.17062 16.752 0.027
5 52029.14182 16.817 0.020
5 52030.25966 16.867 0.025
5 52036.33185 17.026 0.025
5 52037.30762 17.040 0.031
5 52038.39734 17.061 0.060
5 52040.38920 17.027 0.026
5 52045.35134 17.010 0.048
5 52051.28514 16.958 0.024
5 52052.43935 16.948 0.032
5 52056.19953 16.991 0.029
5 52059.29491 17.103 0.050
5 52073.26564 17.622 0.062
5 52111.22468 18.719 0.095
5 52111.24113 18.687 0.098
sn01az
1 52034.39608 17.185 0.054
1 52037.33847 17.364 0.052
2 52034.39936 17.189 0.056
2 52036.34204 17.221 0.018
2 52037.34175 17.325 0.019
2 52038.40943 17.358 0.038
2 52040.41903 17.473 0.040
2 52051.37325 18.543 0.033
2 52081.42372 20.279 0.083
3 52034.40185 17.123 0.022
3 52036.34455 17.178 0.019
3 52038.41191 17.265 0.047
3 52040.42152 17.359 0.020
3 52051.37575 17.967 0.033
4 52034.40366 17.017 0.023
4 52036.34635 17.081 0.026
4 52037.33330 17.119 0.027
4 52037.33428 17.114 0.025
4 52037.34605 17.153 0.025
4 52040.42331 17.268 0.021
4 52051.37753 17.833 0.025
4 52081.42940 19.173 0.068
5 52034.40513 17.542 0.040
5 52036.34781 17.562 0.036
5 52037.34750 17.620 0.042
5 52040.42476 17.839 0.045
5 52051.37899 18.452 0.062
5 52081.43119 19.047 0.109
sn01bf
1 52047.38542 14.745 0.029
1 52050.45251 15.102 0.026
1 52051.41358 15.089 0.025
1 52053.43769 15.294 0.026
1 52056.33959 15.598 0.026
1 52059.29858 15.878 0.026
1 52075.25477 17.800 0.039
