Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-13.2    -0.5    INDEF   INDEF    14.320  0.025     14.388  0.018     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.383  0.016     14.967  0.019     DEMONEXT  
2018-02-13.2    -0.4    INDEF   INDEF     14.287  0.011     14.255  0.010     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Swope  
2018-02-13.3    -0.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.196  0.012     14.398  0.009     INDEF   INDEF    Gemini  
2018-02-13.5    -0.2    INDEF   INDEF    14.309  0.025     14.385  0.012     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.400  0.008     14.944  0.010     PONM  
2018-02-13.6    -0.1    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.252  0.002     INDEF   INDEF    15.002  0.003     PS1  
2018-02-13.7    +0.0    INDEF   INDEF    14.293  0.030     14.376  0.009     INDEF   INDEF    INDEF   INDEF    14.201  0.003     14.450  0.003     15.008  0.005     TNT  
2018-02-14.3    +0.6    INDEF   INDEF     14.345  0.011     14.258  0.010     INDEF   INDEF    INDEF   INDEF    14.215  0.012     14.390  0.008     15.059  0.010     Swope  
2018-02-14.5    +0.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.225  0.002     INDEF   INDEF    INDEF   INDEF    PS1  
2018-02-15.0    +2.3    14.081  0.027     14.319  0.015     14.383  0.014     INDEF   INDEF    INDEF   INDEF    14.184  0.002     14.422  0.003     15.085  0.007     LCO  
2018-02-15.2    +1.5    INDEF   INDEF     14.354  0.011     14.275  0.009     INDEF   INDEF    INDEF   INDEF    14.256  0.008     14.383  0.008     INDEF   INDEF    Swope  
2018-02-16.2    +2.5    INDEF  INDEF     14.382  0.011     14.290  0.009     INDEF   INDEF    INDEF   INDEF    14.259  0.009     14.392  0.008     15.136  0.009     Swope  
2018-02-16.3    +2.6    INDEF   INDEF    14.367  0.025     14.413  0.010     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.400  0.007     15.066  0.010     PONM  
2018-02-16.9    +3.2    14.157  0.027     14.364  0.016     14.398  0.013     INDEF   INDEF    INDEF   INDEF    14.200  0.002     14.425  0.004     15.106  0.009     LCO  
