#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
2 52056.34286 15.591 0.015
2 52059.30185 15.853 0.015
2 52075.25802 17.523 0.015
2 52169.26531 19.024 0.038
2 52188.13976 19.399 0.047
3 52047.39117 15.005 0.015
3 52050.45825 15.062 0.011
3 52051.41933 15.092 0.011
3 52053.44343 15.169 0.011
3 52056.34534 15.304 0.013
3 52059.30433 15.427 0.011
3 52075.26053 16.348 0.011
3 52081.45637 16.585 0.015
3 52169.26851 18.581 0.030
3 52188.14225 19.032 0.045
4 52047.39299 14.917 0.015
4 52050.46006 14.969 0.013
4 52051.42111 15.010 0.013
4 52053.44522 15.107 0.013
4 52056.34713 15.234 0.019
4 52059.30611 15.278 0.013
4 52075.26234 15.819 0.014
4 52081.45885 16.095 0.016
4 52169.27101 18.715 0.055
5 52047.39443 15.038 0.020
5 52050.46150 15.105 0.017
5 52051.42257 15.142 0.018
5 52053.44668 15.238 0.023
5 52056.34859 15.312 0.022
5 52059.30757 15.256 0.016
5 52075.26378 15.437 0.024
5 52169.27279 18.349 0.064
sn01cp
2 52102.30186 16.958 0.014
3 52084.39325 16.210 0.015
3 52113.28851 17.292 0.034
3 52113.32006 17.315 0.038
3 52188.10036 19.474 0.058
4 52084.39507 16.073 0.020
4 52113.29030 16.956 0.036
4 52113.32185 16.965 0.027
5 52084.39652 16.129 0.021
5 52113.29176 17.154 0.063
sn01da
1 52109.45175 15.135 0.049
1 52118.37714 16.666 0.054
1 52121.45588 17.250 0.053
1 52197.13816 19.380 0.136
2 52109.45507 15.743 0.023
2 52118.38049 16.456 0.025
2 52164.34997 19.011 0.045
2 52188.19547 19.185 0.059
2 52197.12802 19.291 0.056
3 52109.45756 15.529 0.024
3 52110.39498 15.554 0.026
3 52121.46171 16.083 0.024
3 52164.35314 18.018 0.029
3 52188.19867 18.594 0.039
3 52197.13123 18.759 0.038
4 52109.45940 15.411 0.031
4 52110.39676 15.431 0.032
4 52164.35561 17.673 0.032
4 52188.20117 18.533 0.041
4 52197.13374 18.775 0.043
5 52109.46087 15.726 0.031
5 52110.39821 15.726 0.031
5 52121.46499 16.135 0.032
5 52164.35740 17.590 0.039
5 52197.13588 18.763 0.077
sn01eh
1 52169.32277 16.478 0.063
1 52171.20622 16.645 0.061
1 52172.19707 16.666 0.064
1 52173.21206 16.745 0.062
1 52178.38027 17.209 0.187
1 52193.27749 18.827 0.099
1 52204.23168 19.711 0.193
1 52206.24733 19.837 0.166
1 52221.13888 19.932 0.167
1 52225.12333 20.108 0.208
1 52226.26410 19.875 0.197
1 52257.23285 20.273 0.250
1 52267.22385 20.147 0.202
2 52169.32618 16.827 0.019
2 52170.27199 16.868 0.020
2 52171.20943 16.892 0.020
2 52172.20030 16.925 0.019
2 52173.21528 16.932 0.020
2 52178.38355 17.204 0.020
2 52193.28072 18.611 0.023
2 52196.19568 18.926 0.028
2 52197.16645 18.961 0.033
2 52204.23575 19.334 0.033
2 52206.25137 19.490 0.036
2 52220.14255 19.790 0.109
2 52221.12932 19.883 0.045
2 52222.14861 19.944 0.046
2 52225.12722 19.929 0.048
2 52226.26800 19.885 0.052
2 52257.22329 20.399 0.066
2 52258.13848 20.364 0.076
2 52261.13080 20.509 0.070
2 52267.22778 20.551 0.107
3 52169.32002 16.757 0.022
3 52169.32868 16.775 0.015
3 52170.27449 16.790 0.016
3 52171.21194 16.783 0.015
3 52172.20278 16.800 0.015
